object_id,type,state,color,x,y,angle,length,width,base_length,radius
0,boundary,Static,Black,128.0,-2.5,0.0,256.0,5.0,,
1,boundary,Static,Black,-2.5,128.0,0.0,5.0,256.0,,
2,boundary,Static,Black,128.0,258.5,0.0,256.0,5.0,,
3,boundary,Static,Black,258.5,128.0,0.0,5.0,256.0,,
4,circle,Dynamic,Green,91.18949890136719,230.38363647460938,,,,,12.5
5,circle,Static,Black,0.0,167.89999389648438,,,,,5.5
6,circle,Static,Black,14.65811538696289,167.7748260498047,,,,,5.5
7,circle,Static,Black,53.15060806274414,165.59149169921875,,,,,5.5
8,circle,Static,Black,74.06366729736328,168.84133911132812,,,,,5.5
9,circle,Static,Black,94.51095581054688,174.2995147705078,,,,,5.5
10,circle,Static,Black,128.9269256591797,173.33804321289062,,,,,5.5
11,circle,Static,Black,150.53732299804688,177.67584228515625,,,,,5.5
12,circle,Static,Black,256.0,120.46666717529297,,,,,5.5
13,circle,Static,Black,218.79031372070312,124.0396499633789,,,,,5.5
14,circle,Static,Black,186.93585205078125,120.2837905883789,,,,,5.5
15,circle,Static,Black,166.9793701171875,126.56704711914062,,,,,5.5
16,circle,Static,Black,138.702392578125,138.4672088623047,,,,,5.5
17,circle,Static,Black,0.0,73.03333282470703,,,,,5.5
18,circle,Static,Black,41.43864059448242,85.21839904785156,,,,,5.5
19,circle,Static,Black,56.116844177246094,85.49024963378906,,,,,5.5
20,circle,Static,Black,75.78975677490234,87.24777221679688,,,,,5.5
21,circle,Static,Black,105.15054321289062,84.13856506347656,,,,,5.5
22,circle,Static,Black,256.0,25.60000228881836,,,,,5.5
23,circle,Static,Black,230.65322875976562,33.035911560058594,,,,,5.5
24,circle,Static,Black,189.9191131591797,33.310367584228516,,,,,5.5
25,circle,Static,Black,148.68020629882812,31.081037521362305,,,,,5.5
26,circle,Static,Black,131.26976013183594,36.078487396240234,,,,,5.5
27,circle,Static,Black,102.57945251464844,34.91282653808594,,,,,5.5
28,circle,Static,Black,62.97447204589844,25.925796508789062,,,,,5.5
29,bar,Static,Purple,128.0,2.559999942779541,0.0,256.0,5.12,,
30,User Circle,Dynamic,Red,137,220,,,,,30
