object_id,type,state,color,x,y,angle,length,width,base_length,radius
0,boundary,Static,Black,128.0,-2.5,0.0,256.0,5.0,,
1,boundary,Static,Black,-2.5,128.0,0.0,5.0,256.0,,
2,boundary,Static,Black,128.0,258.5,0.0,256.0,5.0,,
3,boundary,Static,Black,258.5,128.0,0.0,5.0,256.0,,
4,bar,Static,Black,80.0,104.96000671386719,0.0,76.8,5.12,,
5,circle,Dynamic,Gray,61.10014343261719,127.0245361328125,,,,,19.5
6,bar,Dynamic,Gray,56.199806213378906,149.08242797851562,0.0002523901639506221,102.4,5.12,,
7,circle,Dynamic,Green,11.619771957397461,158.13404846191406,,,,,6.5
8,circle,Static,Black,61.099998474121094,243.5,,,,,12.5
9,bar,Static,Black,217.60000610351562,28.15999984741211,0.0,76.8,5.12,,
10,jar,Dynamic,Gray,216.64044189453125,33.2005615234375,2.1930927687208168e-05,57.79965397820301,66.401123046875,38.400000000000006,
11,circle,Dynamic,Blue,216.63999938964844,51.203670501708984,,,,,10.5
12,User Circle,Dynamic,Red,75,188,,,,,24
