object_id,type,state,color,x,y,angle,length,width,base_length,radius
0,boundary,Static,Black,128.0,-2.5,0.0,256.0,5.0,,
1,boundary,Static,Black,-2.5,128.0,0.0,5.0,256.0,,
2,boundary,Static,Black,128.0,258.5,0.0,256.0,5.0,,
3,boundary,Static,Black,258.5,128.0,0.0,5.0,256.0,,
4,bar,Static,Black,13.244539260864258,116.32095336914062,6.108652591705322,25.994921264275074,5.12,,
5,bar,Dynamic,Gray,46.969078063964844,114.11094665527344,0.00026596689713187516,38.4,5.12,,
6,circle,Static,Black,46.969078063964844,105.04286193847656,,,,,6.5
7,circle,Static,Black,59.66907501220703,105.04286193847656,,,,,6.5
8,bar,Static,Black,46.969078063964844,95.98285675048828,0.0,38.4,5.12,,
9,bar,Static,Black,80.69361877441406,111.884765625,6.108652591705322,25.994921264275074,5.12,,
10,jar,Static,Purple,111.21815490722656,70.85792541503906,0.0,38.53310265213535,141.71585083007812,25.6,
11,bar,Static,Black,141.74269104003906,102.32856750488281,6.108652591705322,25.994921264275074,5.12,,
12,bar,Static,Black,204.26724243164062,100.1104736328125,0.0,96.0,5.12,,
13,circle,Dynamic,Green,6.506000518798828,127.58271789550781,,,,,6.5
14,bar,Static,Black,128.0,157.1390380859375,0.0,256.0,5.12,,
15,User Circle,Dynamic,Red,60,133,,,,,6
