object_id,type,state,color,x,y,angle,length,width,base_length,radius
0,boundary,Static,Black,128.0,-2.5,0.0,256.0,5.0,,
1,boundary,Static,Black,-2.5,128.0,0.0,5.0,256.0,,
2,boundary,Static,Black,128.0,258.5,0.0,256.0,5.0,,
3,boundary,Static,Black,258.5,128.0,0.0,5.0,256.0,,
4,bar,Static,Black,80.0,47.78666687011719,0.0,76.8,5.12,,
5,circle,Dynamic,Gray,61.10014343261719,69.8511962890625,,,,,19.5
6,bar,Dynamic,Gray,56.199806213378906,91.90910339355469,0.0002523850998841226,102.4,5.12,,
7,circle,Dynamic,Green,11.619771957397461,100.9607162475586,,,,,6.5
8,circle,Static,Black,61.099998474121094,243.5,,,,,12.5
9,bar,Static,Black,217.52301025390625,8.457038879394531,-0.0872664600610733,76.8,5.12,,
10,jar,Dynamic,Gray,224.63998413085938,16.488996505737305,0.0,38.53310265213535,32.97799301147461,25.6,
11,circle,Dynamic,Blue,224.63998413085938,32.83774185180664,,,,,8.5
12,User Circle,Dynamic,Red,78,123,,,,,24
