object_id,type,state,color,x,y,angle,length,width,base_length,radius
0,boundary,Static,Black,128.0,-2.5,0.0,256.0,5.0,,
1,boundary,Static,Black,-2.5,128.0,0.0,5.0,256.0,,
2,boundary,Static,Black,128.0,258.5,0.0,256.0,5.0,,
3,boundary,Static,Black,258.5,128.0,0.0,5.0,256.0,,
4,bar,Static,Black,13.462575912475586,95.50251770019531,6.02138614654541,26.503070218498127,5.12,,
5,bar,Dynamic,Gray,47.4051513671875,92.16809844970703,0.00026591616915538907,38.4,5.12,,
6,circle,Static,Black,47.405155181884766,83.0999984741211,,,,,6.5
7,circle,Static,Black,60.10515594482422,83.0999984741211,,,,,6.5
8,bar,Static,Black,47.405155181884766,74.04000091552734,0.0,38.4,5.12,,
9,bar,Static,Black,81.34773254394531,88.8174819946289,6.02138614654541,26.503070218498127,5.12,,
10,jar,Static,Purple,112.09031677246094,46.66621398925781,0.0,38.53310265213535,93.33242797851562,25.6,
11,bar,Static,Black,142.8328857421875,77.01244354248047,6.02138614654541,26.503070218498127,5.12,,
12,bar,Static,Black,205.57546997070312,73.669921875,0.0,96.0,5.12,,
13,circle,Dynamic,Green,6.506000518798828,107.88870239257812,,,,,6.5
14,bar,Static,Black,128.0,137.44503784179688,0.0,256.0,5.12,,
15,User Circle,Dynamic,Red,59,105,,,,,6
