object_id,type,state,color,x,y,angle,length,width,base_length,radius
0,boundary,Static,Black,128.0,-2.5,0.0,256.0,5.0,,
1,boundary,Static,Black,-2.5,128.0,0.0,5.0,256.0,,
2,boundary,Static,Black,128.0,258.5,0.0,256.0,5.0,,
3,boundary,Static,Black,258.5,128.0,0.0,5.0,256.0,,
4,jar,Dynamic,Gray,128.0000457763672,2.2118940353393555,3.152017598040402e-06,38.53310265213535,4.423788070678711,25.6,
5,circle,Dynamic,Blue,128.0,18.483665466308594,,,,,8.5
6,bar,Static,Black,291.20001220703125,126.2933349609375,0.0,256.0,5.12,,
7,jar,Dynamic,Gray,175.9993896484375,157.64398193359375,3.141653060913086,30.826482121708274,315.2879638671875,20.480000000000004,
8,circle,Dynamic,Green,176.0,135.3593292236328,,,,,6.5
9,bar,Static,Black,310.9312438964844,189.9503631591797,0.5235987901687622,256.0,5.12,,
10,User Circle,Dynamic,Red,203,206,,,,,28
