object_id,type,state,color,x,y,angle,length,width,base_length,radius
0,boundary,Static,Black,128.0,-2.5,0.0,256.0,5.0,,
1,boundary,Static,Black,-2.5,128.0,0.0,5.0,256.0,,
2,boundary,Static,Black,128.0,258.5,0.0,256.0,5.0,,
3,boundary,Static,Black,258.5,128.0,0.0,5.0,256.0,,
4,circle,Dynamic,Green,115.67982482910156,230.38363647460938,,,,,12.5
5,circle,Static,Black,179.1999969482422,128.0,,,,,6.5
6,circle,Static,Black,206.01165771484375,147.8852996826172,,,,,6.5
7,circle,Static,Black,214.16299438476562,160.68829345703125,,,,,6.5
8,circle,Static,Black,167.3871307373047,158.044677734375,,,,,6.5
9,circle,Static,Black,148.7775421142578,149.6859588623047,,,,,6.5
10,circle,Static,Black,124.29788208007812,125.08561706542969,,,,,6.5
11,circle,Static,Black,103.63406372070312,78.4682388305664,,,,,6.5
12,circle,Static,Black,101.10917663574219,29.520843505859375,,,,,6.5
13,circle,Static,Black,106.97660827636719,11.462942123413086,,,,,6.5
14,circle,Static,Black,244.80857849121094,127.76994323730469,,,,,6.5
15,circle,Static,Black,233.0723876953125,138.51246643066406,,,,,6.5
16,circle,Static,Black,211.18228149414062,147.1421661376953,,,,,6.5
17,circle,Static,Black,173.7256317138672,147.5100555419922,,,,,6.5
18,circle,Static,Black,211.18228149414062,147.1421661376953,,,,,6.5
19,circle,Static,Black,201.69886779785156,134.78770446777344,,,,,6.5
20,circle,Static,Black,180.69815063476562,107.26170349121094,,,,,6.5
21,circle,Static,Black,51.20000457763672,128.0,,,,,6.5
22,circle,Static,Black,51.54833984375,114.58453369140625,,,,,6.5
23,circle,Static,Black,65.49400329589844,92.26277923583984,,,,,6.5
24,circle,Static,Black,81.95965576171875,83.6925277709961,,,,,6.5
25,circle,Static,Black,65.49400329589844,92.26277923583984,,,,,6.5
26,circle,Static,Black,73.38763427734375,69.98551177978516,,,,,6.5
27,circle,Static,Black,79.46842956542969,55.087913513183594,,,,,6.5
28,circle,Static,Black,96.5362548828125,18.313081741333008,,,,,6.5
29,circle,Static,Black,105.37625885009766,1.396331787109375,,,,,6.5
30,circle,Static,Black,172.82785034179688,1.3889144659042358,,,,,6.5
31,circle,Static,Black,155.37677001953125,33.31330108642578,,,,,6.5
32,circle,Static,Black,134.44219970703125,45.00380325317383,,,,,6.5
33,circle,Static,Black,89.39468383789062,42.66133117675781,,,,,6.5
34,circle,Static,Black,66.9525375366211,26.868988037109375,,,,,6.5
35,circle,Static,Black,57.030616760253906,3.1606736183166504,,,,,6.5
36,circle,Static,Black,161.96473693847656,14.095623016357422,,,,,6.5
37,circle,Static,Black,105.37625885009766,1.396331787109375,,,,,6.5
38,circle,Static,Black,131.39707946777344,25.132373809814453,,,,,6.5
39,circle,Static,Black,79.46842956542969,55.087913513183594,,,,,6.5
40,circle,Static,Black,70.99942016601562,42.30466079711914,,,,,6.5
41,circle,Static,Black,63.54692077636719,19.925302505493164,,,,,6.5
42,circle,Static,Black,62.65499496459961,4.5104756355285645,,,,,6.5
43,circle,Static,Black,170.7019805908203,14.123849868774414,,,,,6.5
44,circle,Static,Black,139.87100219726562,24.36663818359375,,,,,6.5
45,circle,Static,Black,119.27069091796875,23.231142044067383,,,,,6.5
46,bar,Static,Purple,128.0,2.559999942779541,0.0,256.0,5.12,,
47,User Circle,Dynamic,Red,59,205,,,,,14
