object_id,type,state,color,x,y,angle,length,width,base_length,radius
0,boundary,Static,Black,128.0,-2.5,0.0,256.0,5.0,,
1,boundary,Static,Black,-2.5,128.0,0.0,5.0,256.0,,
2,boundary,Static,Black,128.0,258.5,0.0,256.0,5.0,,
3,boundary,Static,Black,258.5,128.0,0.0,5.0,256.0,,
4,bar,Static,Purple,168.51551818847656,85.5511703491211,0.7330383062362671,256.0,5.12,,
5,bar,Static,Black,-15.87116813659668,94.83551025390625,-0.8377580642700195,256.0,5.12,,
6,jar,Dynamic,Gray,18.144590377807617,172.4234161376953,-0.8377580642700195,51.377470202847135,344.8468322753906,34.13333333333334,
7,bar,Static,Black,-1.070663332939148,78.39788818359375,-0.8377580642700195,211.7619846853873,5.12,,
8,circle,Dynamic,Green,36.8718147277832,189.58554077148438,,,,,10.5
9,User Circle,Dynamic,Red,6,159,,,,,5
